Lake_Michigan_subwatershed,HUC
Betsie-Platte Watershed,4060104
Black-Macatawa Watershed,4050002
Boardman-Charlevoix Watershed,4060105
Brevoort-Millecoquins Watershed,4060107
Brule Watershed,4030106
Cedar-Ford Watershed,4030109
Chicago Area Waterway System,
Door-Kewaunee Watershed,4030102
Duck-Pensaukee Watershed,4030103
Escanaba Watershed,4030110
Fishdam-Sturgeon Watershed,4030112
Lower Fox Watershed,4030204
Upper Fox River Watershed,4030201
Lower Grand Watershed,4050006
Upper Grand Watershed,4050004
Kalamazoo Watershed,4050003
Little Calumet-Galien Watershed,4040001
Manistee Watershed,4060103
Manistique Watershed,4060106
Manitowoc-Sheboygan Watershed,4030101
Maple Watershed,4050005
Menominee Watershed,4030108
Michigamme Watershed,4030107
Milwaukee Watershed,4040003
Muskegon Watershed,4060102
Oconto Watershed,4030104
Pere-Marquette-White Watershed,4060101
Peshtigo Watershed,4030105
Pike-Root Watershed,4040002
St. Joseph Watershed,4050001
Tacoosh-Whitefish Watershed,4030111
Thornapple Watershed,4050007
Lake Winnebago Watershed,4030203
Wolf Lake Watershed,4030202